Bib,ID,11.1k,16.6k,20k,20.7k,Chip Time,Finish Time
23621,01475,0:42:36,0:24:10,0:15:08,0:02:56,1:31:55,1:31:55
21273,01476,0:41:39,0:25:31,0:15:08,0:02:55,1:31:55,1:31:55
21377,01477,0:42:58,0:24:07,0:14:58,0:02:49,1:31:56,1:31:56
20148,01478,0:42:12,0:25:07,0:14:50,0:03:01,1:32:16,1:32:16
20250,01479,0:43:40,0:24:02,0:14:22,0:02:43,1:32:17,1:32:17
20216,01480,0:43:06,0:24:22,0:14:54,0:02:54,1:32:23,1:32:23
21604,01481,0:43:17,0:24:41,0:14:49,0:02:51,1:32:38,1:32:38
20033,01482,0:42:24,0:25:32,0:15:12,0:02:47,1:32:41,1:32:41
20526,01483,0:44:02,0:24:11,0:14:31,0:02:54,1:32:49,1:32:49
23409,01484,0:44:03,0:24:10,0:14:31,0:02:54,1:32:49,1:32:49
21077,01485,0:44:03,0:24:11,0:14:33,0:02:57,1:32:51,1:32:51
23363,01486,0:42:48,0:25:05,0:15:22,0:02:58,1:33:13,1:33:13
20326,01487,0:43:56,0:24:35,0:15:07,0:02:49,1:33:30,1:33:30
21551,01488,0:43:51,0:24:34,0:14:46,0:02:55,1:33:36,1:33:36
21223,01489,0:43:36,0:24:19,0:15:19,0:02:58,1:33:39,1:33:39
20057,01490,0:43:44,0:24:56,0:15:15,0:02:49,1:34:06,1:34:06
21456,01491,0:42:36,0:24:39,0:15:10,0:02:50,1:34:07,1:34:07
20034,01492,0:43:43,0:24:47,0:15:06,0:03:09,1:34:09,1:34:09
23027,01493,0:43:49,0:24:39,0:15:20,0:02:59,1:34:12,1:34:12
21248,01494,0:43:03,0:25:20,0:15:50,0:03:06,1:34:14,1:34:14
21574,01495,0:44:11,0:24:40,0:14:59,0:02:56,1:34:20,1:34:20
20051,01496,0:42:53,0:25:21,0:15:56,0:03:15,1:34:42,1:34:42
20170,01497,0:44:41,0:24:46,0:14:46,0:02:52,1:34:43,1:34:43
20075,01498,0:44:38,0:25:12,0:14:52,0:02:48,1:34:46,1:34:46
21756,01499,0:44:52,0:24:51,0:14:57,0:02:57,1:34:48,1:34:48
23200,01500,0:44:55,0:24:49,0:14:45,0:02:46,1:34:49,1:34:49
20619,01501,0:43:57,0:25:16,0:15:26,0:02:57,1:34:50,1:34:50
21556,01502,0:44:23,0:25:12,0:15:04,0:02:50,1:34:52,1:34:52
21259,01503,0:44:51,0:25:12,0:14:55,0:02:48,1:34:54,1:34:54
21728,01504,0:45:03,0:24:30,0:15:05,0:02:51,1:34:55,1:34:55
23056,01505,0:43:59,0:25:15,0:15:26,0:02:58,1:34:56,1:34:56
23070,01506,0:44:45,0:25:01,0:15:04,0:02:51,1:35:07,1:35:07
20266,01507,0:43:45,0:24:52,0:15:54,0:03:15,1:35:09,1:35:09
21206,01508,0:43:38,0:25:24,0:15:29,0:03:03,1:35:09,1:35:09
20899,01509,0:44:18,0:25:09,0:15:16,0:02:57,1:35:13,1:35:13
20202,01510,0:46:15,0:24:35,0:14:30,0:02:46,1:35:17,1:35:17
20177,01511,0:45:31,0:24:30,0:14:53,0:02:55,1:35:22,1:35:22
20143,01512,0:43:51,0:25:29,0:15:47,0:03:08,1:35:35,1:35:35
21564,01513,0:44:39,0:25:28,0:15:19,0:02:53,1:35:36,1:35:36
20063,01514,0:43:50,0:25:29,0:15:48,0:03:08,1:35:36,1:35:36
20045,01515,0:44:44,0:25:22,0:15:05,0:03:04,1:35:37,1:35:37
21633,01516,0:44:55,0:25:00,0:15:23,0:03:00,1:35:39,1:35:39
23567,01517,0:44:01,0:25:31,0:15:49,0:03:08,1:35:51,1:35:51
20100,01518,0:45:16,0:24:21,0:15:18,0:03:28,1:35:54,1:35:54
20307,01519,0:44:42,0:25:28,0:15:25,0:03:04,1:35:55,1:35:55
21236,01520,0:45:00,0:25:24,0:15:12,0:03:06,1:36:07,1:36:07
20235,01521,0:45:22,0:25:16,0:15:13,0:02:50,1:36:09,1:36:09
20218,01522,0:44:30,0:25:54,0:15:38,0:03:04,1:36:17,1:36:17
23029,01523,0:44:42,0:25:41,0:15:45,0:03:09,1:36:20,1:36:20
20718,01524,0:45:19,0:25:32,0:15:10,0:02:57,1:36:25,1:36:25
21570,01525,0:45:02,0:25:31,0:15:43,0:03:00,1:36:41,1:36:41
20102,01526,,,0:16:39,0:03:08,1:36:44,1:36:44
20145,01527,0:45:27,0:25:13,0:15:49,0:03:04,1:36:46,1:36:46
20645,01528,0:45:07,0:26:05,0:15:42,0:03:04,1:36:57,1:36:57
20084,01529,0:45:28,0:25:39,0:15:40,0:03:06,1:37:00,1:37:00
20116,01530,0:46:19,0:25:33,0:15:06,0:02:57,1:37:08,1:37:08
20040,01531,0:45:58,0:25:38,0:15:14,0:03:03,1:37:10,1:37:10
23046,01532,0:45:53,0:25:39,0:15:33,0:03:04,1:37:13,1:37:13
20234,01533,0:46:19,0:25:05,0:15:07,0:02:57,1:37:14,1:37:14
20251,01534,0:44:42,0:26:29,0:15:56,0:03:02,1:37:18,1:37:18
23172,01535,0:45:54,0:25:39,0:15:37,0:02:59,1:37:21,1:37:21
21154,01536,0:45:54,0:25:39,0:15:37,0:02:59,1:37:21,1:37:21
21334,01537,0:45:20,0:25:52,0:15:50,0:03:01,1:37:29,1:37:29
20944,01538,0:46:02,0:25:30,0:15:14,0:02:55,1:37:35,1:37:35
21199,01539,0:46:09,0:25:26,0:15:53,0:02:53,1:37:39,1:37:39
21781,01540,0:45:50,0:25:29,0:15:36,0:03:08,1:37:53,1:37:53
21748,01541,0:44:54,0:26:18,0:16:14,0:03:07,1:37:56,1:37:56
20519,01542,0:46:24,0:26:04,0:15:17,0:02:51,1:37:56,1:37:56
23647,01543,0:46:52,0:26:00,0:14:59,0:02:50,1:38:11,1:38:11
20385,01544,0:45:33,0:26:00,0:15:59,0:03:07,1:38:12,1:38:12
20071,01545,0:44:42,0:26:49,0:16:38,0:03:19,1:38:14,1:38:14
21657,01546,0:45:09,0:25:55,0:16:30,0:03:26,1:38:17,1:38:17
20064,01547,0:45:43,0:26:11,0:15:59,0:03:06,1:38:29,1:38:29
20089,01548,0:46:17,0:25:47,0:15:39,0:02:59,1:38:30,1:38:30
20238,01549,0:45:55,0:26:19,0:15:48,0:03:00,1:38:34,1:38:34
20213,01550,0:45:57,0:26:01,0:16:01,0:03:04,1:38:34,1:38:34
21755,01551,0:46:20,0:26:35,0:15:31,0:02:53,1:38:36,1:38:36
20612,01552,0:45:46,0:26:23,0:15:54,0:03:07,1:38:41,1:38:41
21526,01553,0:46:25,0:26:00,0:15:41,0:03:02,1:38:44,1:38:44
20543,01554,0:45:27,0:25:59,0:16:16,0:03:13,1:38:46,1:38:46
20078,01555,0:45:04,0:26:17,0:16:18,0:03:15,1:38:49,1:38:49
20917,01556,0:46:48,0:26:00,0:15:28,0:02:47,1:38:54,1:38:54
20751,01557,0:45:37,0:27:07,0:16:05,0:03:07,1:38:55,1:38:55
21766,01558,0:45:55,0:26:08,0:15:29,0:03:03,1:38:58,1:38:58
