Bib,ID,14.4k,25.8k,32.3k,37.9k,Chip Time,Finish Time
40057,00076,1:03:26,0:49:36,0:27:58,0:24:11,3:04:30,3:04:30
41095,00077,1:00:23,0:48:18,0:27:39,0:25:01,3:04:30,3:04:30
40152,00078,1:02:42,0:49:26,0:27:47,0:24:24,3:04:53,3:04:53
40896,00079,0:59:21,0:47:15,0:27:42,0:26:17,3:04:54,3:04:54
40069,00080,1:02:52,0:49:53,0:28:28,0:24:45,3:05:30,3:05:30
40105,00081,1:00:59,0:49:41,0:29:17,0:25:27,3:05:57,3:05:57
40509,00082,1:00:25,0:48:24,0:28:42,0:26:03,3:06:02,3:06:02
40867,00083,1:01:15,0:50:20,0:28:59,0:25:11,3:06:04,3:06:04
40283,00084,1:02:16,0:50:06,0:28:24,0:25:36,3:06:16,3:06:16
41092,00085,1:00:15,0:49:21,0:29:33,0:26:05,3:06:20,3:06:20
43036,00086,1:03:30,0:49:52,0:28:14,0:25:12,3:06:30,3:06:30
40267,00087,1:01:11,0:49:08,0:29:01,0:25:52,3:06:41,3:06:41
41122,00088,1:02:07,0:49:39,0:27:58,0:25:53,3:06:57,3:06:57
40870,00089,1:03:32,0:52:20,0:27:43,0:23:25,3:07:02,3:07:02
40300,00090,1:00:42,0:50:17,0:28:47,0:27:52,3:07:07,3:07:07
40906,00091,1:03:27,0:49:56,0:28:23,0:24:16,3:07:07,3:07:07
43037,00092,1:03:13,0:51:20,0:28:43,0:24:36,3:07:21,3:07:21
40090,00093,1:04:13,0:50:40,0:28:40,0:23:56,3:07:22,3:07:22
40223,00094,1:04:12,0:50:48,0:28:31,0:24:46,3:07:39,3:07:39
40821,00095,1:04:12,0:50:49,0:28:30,0:24:46,3:07:39,3:07:39
43038,00096,1:03:29,0:49:56,0:28:24,0:25:13,3:07:40,3:07:40
40121,00097,1:04:13,0:50:49,0:28:31,0:24:46,3:07:54,3:07:54
40124,00098,1:04:15,0:47:56,0:28:59,0:26:01,3:07:55,3:07:55
40866,00099,1:00:52,0:52:37,0:29:38,0:24:36,3:08:01,3:08:01
40178,00100,1:01:23,0:50:45,0:27:57,0:26:29,3:08:20,3:08:20
40228,00101,1:01:21,0:53:41,0:28:31,0:24:47,3:08:20,3:08:20
41022,00102,1:01:48,0:50:10,0:28:53,0:26:07,3:08:27,3:08:27
40507,00103,1:02:16,0:50:06,0:28:24,0:26:07,3:08:46,3:08:46
40020,00104,1:03:02,0:49:38,0:28:36,0:26:04,3:09:06,3:09:06
40292,00105,1:04:26,0:51:05,0:28:55,0:24:58,3:09:25,3:09:25
40379,00106,1:03:23,0:51:30,0:29:13,0:25:06,3:09:28,3:09:28
40963,00107,1:00:36,0:48:05,0:27:25,0:24:47,3:10:06,3:10:06
40156,00108,1:03:56,0:51:30,0:28:46,0:25:31,3:10:07,3:10:07
40166,00109,1:00:57,0:50:51,0:29:50,0:26:46,3:10:23,3:10:23
40254,00110,1:03:43,0:52:03,0:28:57,0:25:15,3:10:29,3:10:29
40065,00111,1:04:31,0:51:17,0:28:56,0:25:18,3:11:02,3:11:02
40148,00112,1:04:22,0:51:01,0:28:53,0:25:19,3:11:07,3:11:07
40280,00113,1:04:17,0:51:17,0:29:24,0:24:57,3:11:14,3:11:14
40220,00114,1:06:26,0:51:49,0:28:35,0:25:02,3:11:23,3:11:23
41157,00115,1:02:16,0:51:18,0:29:23,0:26:42,3:11:31,3:11:31
40128,00116,1:05:02,0:51:35,0:29:07,0:25:27,3:12:17,3:12:17
40552,00117,1:05:19,0:53:23,0:28:40,0:25:05,3:12:21,3:12:21
43048,00118,1:06:37,0:52:07,0:28:39,0:25:07,3:12:23,3:12:23
40029,00119,1:05:00,0:51:36,0:29:06,0:25:33,3:12:28,3:12:28
40028,00120,1:03:19,0:50:41,0:29:01,0:26:49,3:13:16,3:13:16
40621,00121,1:04:43,0:51:31,0:29:25,0:26:18,3:13:37,3:13:37
40188,00122,1:03:43,0:52:23,0:29:28,0:25:53,3:13:38,3:13:38
43049,00123,1:03:54,0:52:20,0:29:28,0:25:52,3:13:41,3:13:41
40378,00124,1:04:28,0:46:09,0:30:47,0:27:34,3:13:45,3:13:45
40054,00125,1:04:53,0:51:31,0:29:03,0:26:15,3:13:47,3:13:47
